,A,argR
SRX6845146,-4.9332597932,-1.8546603942000002
SRX6845142,-5.0902187733,-1.4981014124
SRX6845141,-4.9906131762,-1.2284684094
SRX6845144,0.5403382826,0.025915714700000002
SRX6845143,-0.5403382826,-0.025915714700000002
SRX5605051,-0.5519849036,-0.2761486099
SRX5605045,0.5519849036,0.2761486099
SRX5605060,0.0066402168,0.32932828940000003
SRX5605059,-1.8536668753,-0.3973104575
SRX2382017,0.3076311319,0.11970456510000001
SRX2382024,-0.3076311319,-0.11970456510000001
SRX2382027,1.7307820092,0.3499534999
SRX2382029,2.0693009484,0.5665115156
SRX2382217,0.9714181817,-0.0008681040000000001
SRX2382023,1.1001143355,0.18232029200000002
SRX2382218,-1.1209119481,-0.020906781500000002
SRX2382219,-0.22393476480000002,-0.165145818
SRX2382213,1.0724787149,-0.0391265162
SRX2382019,1.8009304052,0.6117346569000001
SRX2382214,-0.8509236706000001,0.0928318174
SRX2382215,1.8564670877,0.6120262188000001
SRX2382020,-0.8120898365,0.5069120227
SRX2382216,0.08871824910000001,0.3125116335
SRX2382022,-0.2851330266,-0.48172130350000003
SRX2382033,-1.4075617199,-0.4959479068
SRX2382220,4.4086657392,1.5940691162
SRX2382222,4.0074270874,1.335646629
SRX2382030,2.5289508136,1.1932404844
SRX4506350,-0.1036762455,0.0474307479
SRX4506352,-0.1906474551,0.024519681800000002
SRX4506354,0.3208097905,0.0567137132
SRX4506348,0.1262296064,0.1960622941
SRX4506346,0.0346435898,-0.0452797896
SRX4506344,-0.1608731962,-0.1507825046
SRX4506351,2.6336208353,0.8455997409
SRX4506353,2.7189622714,0.9446005153
SRX4506355,2.8675684517,0.8433107656000001
SRX4506349,3.9073230965,1.3385358187
SRX4506345,3.6609018386,1.1930791570000001
SRX4506347,3.6649609169,1.3017719051
SRX4514122,-2.9642691436,-0.8092242994000001
SRX4514124,1.3807013296,-0.0600454271
SRX4514126,1.4337267277999999,0.37478033320000004
SRX4514120,-2.7302646963,-0.8118125028000001
SRX4514112,-2.4203091630999998,-0.8429827639
SRX4514116,2.2768353862,0.5918524446
SRX4514118,2.081529341,0.7228557252000001
SRX4514114,-1.9380555641,-0.4717254059
SRX4514121,-3.2053298641,-1.2884247989
SRX4514125,1.7942916226999999,0.5611029192
SRX4514127,1.4244995193,0.34888876560000004
SRX4514123,-3.2646909581,-1.3605742314
SRX4514115,-2.2463913322,-1.0519130123
SRX4514117,2.1006294893,0.5877075810000001
SRX4514113,-2.4361117317,-0.7360868243
SRX4514119,1.9861152495,0.2932909653
SRX958308,-3.7829751479000002,-1.1994272149
SRX958306,-2.7400938371,-0.51074904
SRX958307,-4.9926181343,-2.031474867
SRX958313,-0.2271080318,-0.1254157851
SRX958312,-1.3367562830000002,-0.5800580702
SRX958314,1.5638643148,0.7054738553000001
SRX958320,2.1235993413,0.987708063
SRX958318,3.5786479152,1.2842415330999999
SRX958319,1.6899316026,0.6177134438
SRX958323,12.815916230300001,2.985063627
SRX958322,11.8274075285,3.0118637579
SRX958321,11.9263830676,2.96248991
SRX958310,0.2812036907,0.2512937364
SRX958309,-0.3490198747,0.2984585463
SRX958311,0.6988795896000001,0.5456196306000001
SRX958317,-0.9064846669000001,0.5256650299
SRX958315,-1.6189292397,0.1040255288
SRX958316,-1.2574013632,-0.0518227422
SRX958324,-0.2468251269,0.1745880502
SRX958325,-0.249853613,0.1124362939
SRX4498322,-0.6674439701,-0.25341140830000003
SRX4498318,-0.9180564511,-0.8356373595000001
SRX4498320,-0.3502280397,-0.1691460032
SRX4498316,-0.974877003,-0.5045069455
SRX4498312,-0.3012939941,0.013489141100000001
SRX4498308,0.2381876413,0.11700623660000001
SRX4498314,0.2197903961,-0.0430301198
SRX4498310,-0.1566840433,-0.0874652578
SRX4498319,-0.6676665069000001,-1.3464988948
SRX4498317,-0.7360669024000001,-2.0766218395
SRX4498311,0.3855585467,0.032196232400000004
SRX4498315,0.2559616185,0.0017038262000000001
