,A,pyrR
SRX4647135,0.8124045801,-1.0047821206
SRX4647139,0.0138431002,0.048437357800000004
SRX4647141,-0.1503262021,0.0266133736
SRX4647140,0.0872516425,-0.0218063966
SRX4647138,0.049231459400000004,-0.0532443348
SRX4647128,0.1580086481,-0.0838549822
SRX4647127,0.13309626500000002,0.0737551602
SRX4647129,0.17576783470000001,-0.0119668489
SRX4647126,-0.19727967270000002,0.0907829859
SRX4647133,-0.7037679256,-0.6755427886
SRX4647132,-0.5766958434,-0.6967745183
SRX4647131,-0.8680717392,-0.704232089
SRX4647130,-0.5157732285000001,-1.0178852514
SRX6923924,-1.9828336084,-0.4624153465
SRX6923925,-3.3612032005,-0.488607037
SRX6923923,-3.4814591454,-1.9617579084
SRX6923922,-3.2288694186,-1.2677766217
SRX6923939,0.0565865547,-0.0360057878
SRX6923938,-0.0565865547,0.0360057878
SRX6923936,-0.7971382275000001,-1.0378542619
SRX6923937,-0.7816696553,-1.5058134262
SRX5509428,-0.055751224700000004,-0.1356062526
SRX5509427,0.055751224700000004,0.1356062526
SRX1882560,-3.4573324636000002,0.6445151683
SRX1882558,-3.3943126049,0.5569660436
SRX1882559,-3.2987746249,0.7731148269
SRX1882561,-2.9794165451000003,0.6158376102
SRX1882563,-2.9646287514000003,0.6452876916
SRX1882562,-2.7511424902,0.635290274
SRX1882565,-2.980234251,0.3527160224
SRX1882566,-3.0544240725,0.44053721910000004
SRX1882564,-3.0412457969,0.469805952
SRX1882568,-2.02282892,0.1560174872
SRX1882567,-2.2019368331,0.0688757076
SRX1882569,-1.9913808359,0.0415451261
SRX1882555,-0.016835975200000002,-0.0177479073
SRX1882557,0.0473476325,0.019971625700000002
SRX1882556,-0.0305116573,-0.0022237184
SRX5088615,4.8733889145,-1.7498913376
SRX5088616,4.4345947631,-1.4247763727
SRX6845150,2.2994117666,-0.5150732960000001
SRX6845149,0.07208257400000001,-1.0201392595
SRX6845151,0.3412445521,-0.1386233828
SRX6845152,0.9912336125000001,-0.4041994291
SRX6845145,1.4820716387,-0.7265706992000001
SRX6845146,0.1190012684,0.0877949227
SRX6845142,-1.4544055885,-0.3682346106
SRX6845141,-1.5691723207,-0.1691201721
SRX6845144,0.3301555794,-0.1802825492
SRX6845143,-0.3301555794,0.1802825492
SRX5605051,0.0966961729,0.09308554050000001
SRX5605045,-0.0966961729,-0.09308554050000001
SRX5605060,0.8862563347,1.0208582009
SRX5605059,1.0242003739,1.0590016775
SRX2382017,0.2776700535,0.0123144705
SRX2382024,-0.2776700535,-0.0123144705
SRX2382027,-0.6177966684,-0.8267670446000001
SRX2382029,0.3090346342,-0.7134550227
SRX2382217,0.0988334379,-0.2511208119
SRX2382023,-0.520491585,-0.25883083970000004
SRX2382218,-0.9991975836,0.6404692615
SRX2382219,-0.4046721821,0.3274470487
SRX2382213,0.3375873968,-0.3654228197
SRX2382019,-0.22880839100000003,-0.3913341366
SRX2382214,0.6610124837,0.111348426
SRX2382215,-0.8816882605,0.0663328769
SRX2382020,0.8605158687000001,-0.030209483800000003
SRX2382216,1.6003704065000002,0.36855005080000003
SRX2382022,-0.6058486981,0.1671057634
SRX2382033,-0.2737642406,0.44414623150000004
SRX2382220,1.4325327292,0.4648385044
SRX2382222,1.2083453849,0.43917395400000003
SRX2382030,2.228878583,0.4181792599
SRX4506350,-0.2910605364,0.1569146684
SRX4506352,-0.41589324850000003,0.2639503559
SRX4506354,-0.45475031720000003,0.3425474826
SRX4506348,0.037591650500000004,0.0016977155
SRX4506346,0.0286359518,-0.042092172000000004
SRX4506344,-0.06622760230000001,0.0403944565
SRX4506351,-2.3072445856,1.5517311021
SRX4506353,-2.4132245778,1.4754921882
SRX4506355,-2.3770001658,1.5499747768
SRX4506349,-1.6941485546,1.6559133748
SRX4506345,-1.9231349229,1.6437937183
SRX4506347,-1.6129850886,1.4744111225
SRX4514122,0.3257689197,-0.9200463953
SRX4514124,-1.1952830148,1.1504124249
SRX4514126,-1.4014026371,1.1670234661
SRX4514120,0.18568132950000002,-0.7730656985000001
SRX4514112,1.0776798035,-1.0255242138
SRX4514116,-1.0559724619,1.0417386631
SRX4514118,-0.9600933746,1.0670613469
SRX4514114,0.9383860331,-1.0832757962
SRX4514121,0.3808855243,-0.7938426414
SRX4514125,-1.1892373097,1.0253528029
SRX4514127,-1.5994911154,1.1757966095
SRX4514123,0.3283364643,-1.1104535486
SRX4514115,0.6656773917000001,-0.9477059896000001
SRX4514117,-1.0470775071,1.0870634855
SRX4514113,0.7967455526,-1.0501610336
SRX4514119,-0.7957892926,1.1090601298
SRX958308,3.7804154207,-0.6806386893
SRX958306,1.8305026405,-0.37041890920000003
SRX958307,4.0932914551,-0.8413409838
SRX958313,-0.2275776398,-0.047308325000000005
SRX958312,0.17518319440000002,-0.0516465881
SRX958314,0.0523944454,0.0989549131
SRX958320,0.9767272735,-1.1419559989
SRX958318,0.27335306060000003,-0.43132230660000004
SRX958319,-0.30209680850000004,-0.1868637059
SRX958323,2.2397809137999998,0.2545676951
SRX958322,2.2497662598,0.058379849500000004
SRX958321,2.4858007274,0.0822857924
SRX958310,-0.5616730974,-0.4200077601
SRX958309,-1.0167688132,0.042695369600000005
SRX958311,-0.2701472213,-0.30036984710000003
SRX958317,-1.4222074147,0.4159433072
SRX958315,-0.9793414501000001,0.3245932944
SRX958316,-0.732527487,0.26778338360000004
SRX958324,-1.0518933203,0.3462976754
SRX958325,-1.2563602215,0.0996849845
SRX4498322,0.1963502339,0.0061035732
SRX4498318,-0.009949182800000001,0.0901665479
SRX4498320,0.6027316427,-0.3181277051
