,A,phoP
SRX958313,-0.1803808928,-0.13343796330000002
SRX958312,0.6714058659000001,0.014859826000000001
SRX958314,-0.49102497310000004,0.11857813730000001
SRX958320,-6.9646916697000005,-0.028178231800000002
SRX958318,-8.0450464834,0.3150954452
SRX958319,-7.0662824626,-0.044962154000000004
SRX958323,-16.7971313043,0.42543610400000004
SRX958322,-16.4987754003,0.2745238023
SRX958321,-16.7881679013,0.3522395148
SRX958310,-4.6133980787,-0.1957369759
SRX958309,-3.4211817038,-0.0554225982
SRX958311,-4.4228142733,-0.29934738580000003
SRX958317,-13.092858981,0.2980114247
SRX958315,-12.4218040683,0.0275785659
SRX958316,-13.087736333,0.1204212394
SRX958324,-13.9291970897,0.2431905774
SRX958325,-13.8341401303,0.2570328959
SRX4498322,0.4633489222,-0.0468120839
SRX4498318,0.4087980768,-0.031116332700000002
SRX4498320,0.5212439011000001,-0.1101790309
SRX4498316,0.8972681277000001,-0.0148885239
SRX4498312,0.08219183120000001,0.0143472079
SRX4498308,-0.2493083379,0.0406131505
SRX4498314,0.0104540115,-0.0831224368
